"accountingcontext","name","balance","name"
"","6230 Supplies Expense","522.22","6230 Supplies Expense"
"","6230 Supplies Expense","522.22","6230 Supplies Expense"
"","6230 Supplies Expense","522.22","6230 Supplies Expense"
"","6220 Repairs &amp; Maintenance","15167.00","6220 Repairs &amp; Maintenance"
"","6220 Repairs &amp; Maintenance","15167.00","6220 Repairs &amp; Maintenance"
"","6220 Repairs &amp; Maintenance","15167.00","6220 Repairs &amp; Maintenance"
"","6200 Rent Expense","43400.00","6200 Rent Expense"
"","6200 Rent Expense","43400.00","6200 Rent Expense"
"","6200 Rent Expense","43400.00","6200 Rent Expense"
"","6184 Professional Fees : Legal","150.00","6184 Professional Fees : Legal"
"","6184 Professional Fees : Legal","150.00","6184 Professional Fees : Legal"
"","6184 Professional Fees : Legal","150.00","6184 Professional Fees : Legal"
"","6182 Professional Fees : Accounting","600.00","6182 Professional Fees : Accounting"
"","6182 Professional Fees : Accounting","600.00","6182 Professional Fees : Accounting"
"","6182 Professional Fees : Accounting","600.00","6182 Professional Fees : Accounting"
"","6180 Professional Fees","65880.00","6180 Professional Fees"
"","6180 Professional Fees","65880.00","6180 Professional Fees"
"","6180 Professional Fees","65880.00","6180 Professional Fees"
"","6160 Outside Services","600000.00","6160 Outside Services"
"","6160 Outside Services","600000.00","6160 Outside Services"
"","6160 Outside Services","600000.00","6160 Outside Services"
"","6150 Office Expense","35781.00","6150 Office Expense"
"","6150 Office Expense","35781.00","6150 Office Expense"
"","6150 Office Expense","35781.00","6150 Office Expense"
"","6130 Miscellaneous Expense","36716.61","6130 Miscellaneous Expense"
"","6130 Miscellaneous Expense","36716.61","6130 Miscellaneous Expense"
"","6130 Miscellaneous Expense","36716.61","6130 Miscellaneous Expense"
"","6120 Meals &amp; Entertainment","1390.74","6120 Meals &amp; Entertainment"
"","6120 Meals &amp; Entertainment","1390.74","6120 Meals &amp; Entertainment"
"","6120 Meals &amp; Entertainment","1390.74","6120 Meals &amp; Entertainment"
"","6100 Insurance Expense","6687.50","6100 Insurance Expense"
"","6100 Insurance Expense","6687.50","6100 Insurance Expense"
"","6100 Insurance Expense","6687.50","6100 Insurance Expense"
"","6090 Freight &amp; Delivery","6490.00","6090 Freight &amp; Delivery"
"","6090 Freight &amp; Delivery","6490.00","6090 Freight &amp; Delivery"
"","6090 Freight &amp; Delivery","6490.00","6090 Freight &amp; Delivery"
"","6060 Depreciation Expense","449455.37","6060 Depreciation Expense"
"","6060 Depreciation Expense","449455.37","6060 Depreciation Expense"
"","6060 Depreciation Expense","449455.37","6060 Depreciation Expense"
"","6022 Automobile Expense : Gas &amp; Oil","1408.00","6022 Automobile Expense : Gas &amp; Oil"
"","6022 Automobile Expense : Gas &amp; Oil","1408.00","6022 Automobile Expense : Gas &amp; Oil"
"","6022 Automobile Expense : Gas &amp; Oil","1408.00","6022 Automobile Expense : Gas &amp; Oil"
"","6020 Automobile Expense","1553.00","6020 Automobile Expense"
"","6020 Automobile Expense","1553.00","6020 Automobile Expense"
"","6020 Automobile Expense","1553.00","6020 Automobile Expense"
"","6018 Freight Expense","360.50","6018 Freight Expense"
"","6018 Freight Expense","360.50","6018 Freight Expense"
"","6018 Freight Expense","360.50","6018 Freight Expense"
"","6017 Duty Expense","670.25","6017 Duty Expense"
"","6017 Duty Expense","670.25","6017 Duty Expense"
"","6017 Duty Expense","670.25","6017 Duty Expense"
"","6015 Amortization Expense","4264.80","6015 Amortization Expense"
"","6015 Amortization Expense","4264.80","6015 Amortization Expense"
"","6015 Amortization Expense","4264.80","6015 Amortization Expense"
"","6010 Advertising","16677.65","6010 Advertising"
"","6010 Advertising","16677.65","6010 Advertising"
"","6010 Advertising","16677.65","6010 Advertising"
"","5093 Build Price Variance","228.66","5093 Build Price Variance"
"","5093 Build Price Variance","228.66","5093 Build Price Variance"
"","5093 Build Price Variance","228.66","5093 Build Price Variance"
"","5092 Purchase Price Variance","1345.90","5092 Purchase Price Variance"
"","5092 Purchase Price Variance","1345.90","5092 Purchase Price Variance"
"","5092 Purchase Price Variance","1345.90","5092 Purchase Price Variance"
"","5080 Inventory Write Offs","256.00","5080 Inventory Write Offs"
"","5080 Inventory Write Offs","256.00","5080 Inventory Write Offs"
"","5080 Inventory Write Offs","256.00","5080 Inventory Write Offs"
"","5020 Salaries &amp; Wages","14590.00","5020 Salaries &amp; Wages"
"","5020 Salaries &amp; Wages","14590.00","5020 Salaries &amp; Wages"
"","5020 Salaries &amp; Wages","14590.00","5020 Salaries &amp; Wages"
"","5004 Purchases : Service","15375.00","5004 Purchases : Service"
"","5004 Purchases : Service","15375.00","5004 Purchases : Service"
"","5004 Purchases : Service","15375.00","5004 Purchases : Service"
"","5002 Purchases : Merchandise","9775.00","5002 Purchases : Merchandise"
"","5002 Purchases : Merchandise","9775.00","5002 Purchases : Merchandise"
"","5002 Purchases : Merchandise","9775.00","5002 Purchases : Merchandise"
"","1420 Machinery &amp; Equipment","13934.00","1420 Machinery &amp; Equipment"
"","1420 Machinery &amp; Equipment","13934.00","1420 Machinery &amp; Equipment"
"","1420 Machinery &amp; Equipment","13934.00","1420 Machinery &amp; Equipment"
"","1410 Furniture &amp; Fixtures","365611.98","1410 Furniture &amp; Fixtures"
"","1410 Furniture &amp; Fixtures","365611.98","1410 Furniture &amp; Fixtures"
"","1410 Furniture &amp; Fixtures","365611.98","1410 Furniture &amp; Fixtures"
"","1400 IT Equipment","7449.00","1400 IT Equipment"
"","1400 IT Equipment","7449.00","1400 IT Equipment"
"","1400 IT Equipment","7449.00","1400 IT Equipment"
"","1300 Prepaid Expenses","42000.00","1300 Prepaid Expenses"
"","1300 Prepaid Expenses","42000.00","1300 Prepaid Expenses"
"","1300 Prepaid Expenses","42000.00","1300 Prepaid Expenses"
"","1090 Undeposited Funds","20422163.84","1090 Undeposited Funds"
"","1090 Undeposited Funds","20422163.84","1090 Undeposited Funds"
"","1090 Undeposited Funds","20422163.84","1090 Undeposited Funds"
"","1010 Customer Reserve","250.00","1010 Customer Reserve"
"","1010 Customer Reserve","250.00","1010 Customer Reserve"
"","1010 Customer Reserve","250.00","1010 Customer Reserve"
"","1008 Cash on Hand","198631.09","1008 Cash on Hand"
"","1008 Cash on Hand","198631.09","1008 Cash on Hand"
"","1008 Cash on Hand","198631.09","1008 Cash on Hand"
"","1006 Petty Cash","500.00","1006 Petty Cash"
"","1006 Petty Cash","500.00","1006 Petty Cash"
"","1006 Petty Cash","500.00","1006 Petty Cash"
"","1004 Payroll","24388.60","1004 Payroll"
"","1004 Payroll","24388.60","1004 Payroll"
"","1004 Payroll","24388.60","1004 Payroll"
"","1002 Savings","325000.00","1002 Savings"
"","1002 Savings","325000.00","1002 Savings"
"","1002 Savings","325000.00","1002 Savings"
"","1000 Checking","4760115.78","1000 Checking"
"","1000 Checking","4760115.78","1000 Checking"
"","1000 Checking","4760115.78","1000 Checking"
