Record,Record Type,Date,Modifier,Change Type,Changed Field,Old Value,New Value
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Script File,&nbsp;,AdvancedPromotion_CS_ItemSpecificEntryForm.js
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3749" target="_self" class="dottedlink">Applies To</a>,Field,5/23/2017 3:12 am,Carlos Banawan,Set,Help,&nbsp;,Refers to the base Customization record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3749" target="_self" class="dottedlink">Applies To</a>,Field,5/23/2017 3:12 am,Carlos Banawan,Set,Description,&nbsp;,Refers to the base Customization record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3749" target="_self" class="dottedlink">Applies To</a>,Field,5/23/2017 3:12 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3787" target="_self" class="dottedlink">Approve Customization</a>,Field,5/23/2017 2:38 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3787" target="_self" class="dottedlink">Approve Customization</a>,Field,5/23/2017 2:38 am,Carlos Banawan,Set,Description,&nbsp;,The approved FLO Customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3787" target="_self" class="dottedlink">Approve Customization</a>,Field,5/23/2017 2:38 am,Carlos Banawan,Set,Help,&nbsp;,The approved FLO Customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3788" target="_self" class="dottedlink">Approve process</a>,Field,5/23/2017 2:39 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3788" target="_self" class="dottedlink">Approve process</a>,Field,5/23/2017 2:39 am,Carlos Banawan,Set,Description,&nbsp;,This is the approve process of the change request
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3788" target="_self" class="dottedlink">Approve process</a>,Field,5/23/2017 2:39 am,Carlos Banawan,Set,Help,&nbsp;,This is the approve process of the change request
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4034" target="_self" class="dottedlink">Archive Status</a>,Field,5/23/2017 5:16 am,Carlos Banawan,Set,Description,&nbsp;,The archive status of the FLO Process
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4034" target="_self" class="dottedlink">Archive Status</a>,Field,5/23/2017 5:16 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4034" target="_self" class="dottedlink">Archive Status</a>,Field,5/23/2017 5:16 am,Carlos Banawan,Set,Help,&nbsp;,The archive status of the FLO Process
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3828" target="_self" class="dottedlink">Assign from Record</a>,Field,5/23/2017 5:16 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3828" target="_self" class="dottedlink">Assign from Record</a>,Field,5/23/2017 5:16 am,Carlos Banawan,Set,Description,&nbsp;,The assigned from Record for Automation of the FLO Process
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3828" target="_self" class="dottedlink">Assign from Record</a>,Field,5/23/2017 5:16 am,Carlos Banawan,Set,Help,&nbsp;,The assigned from Record for Automation of the FLO Process
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3811" target="_self" class="dottedlink">Assign Process Owner</a>,Field,5/23/2017 5:27 am,Carlos Banawan,Set,Help,&nbsp;,When checked assign a process owner to the Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3811" target="_self" class="dottedlink">Assign Process Owner</a>,Field,5/23/2017 5:27 am,Carlos Banawan,Set,Description,&nbsp;,When checked assign a process owner to the Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3811" target="_self" class="dottedlink">Assign Process Owner</a>,Field,5/23/2017 5:27 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3826" target="_self" class="dottedlink">Assigned Employee</a>,Field,5/23/2017 5:17 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3826" target="_self" class="dottedlink">Assigned Employee</a>,Field,5/23/2017 5:17 am,Carlos Banawan,Set,Description,&nbsp;,The assigned employee for Autmation of the FLO Process
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3826" target="_self" class="dottedlink">Assigned Employee</a>,Field,5/23/2017 5:17 am,Carlos Banawan,Set,Help,&nbsp;,The assigned employee for Autmation of the FLO Process
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3799" target="_self" class="dottedlink">Attempt #</a>,Field,5/23/2017 3:13 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3799" target="_self" class="dottedlink">Attempt #</a>,Field,5/23/2017 3:13 am,Carlos Banawan,Set,Description,&nbsp;,The attempt number of the Script customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3767" target="_self" class="dottedlink">Audience</a>,Field,5/23/2017 3:13 am,Carlos Banawan,Set,Help,&nbsp;,The list of audiences for the Deployment customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3767" target="_self" class="dottedlink">Audience</a>,Field,5/23/2017 3:13 am,Carlos Banawan,Set,Description,&nbsp;,The list of audiences for the Deployment customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3767" target="_self" class="dottedlink">Audience</a>,Field,5/23/2017 3:13 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4441" target="_self" class="dottedlink">Audited By</a>,Field,6/19/2017 7:48 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_CHNG_LOG_AUDIT_BY
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4450" target="_self" class="dottedlink">Audited By</a>,Field,6/19/2017 8:07 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_PROC_ISS_AUDIT_BY
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4459" target="_self" class="dottedlink">Audited By</a>,Field,6/19/2017 8:19 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_CHNG_REQ_AUDIT_BY
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4441" target="_self" class="dottedlink">Audited By</a>,Field,6/19/2017 11:49 am,Dev One,Change,Display Type,Disabled,Normal
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4441" target="_self" class="dottedlink">Audited By</a>,Field,6/19/2017 11:49 am,Dev One,Change,Display Type,Normal,Disabled
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4440" target="_self" class="dottedlink">Auditor Assigned</a>,Field,6/19/2017 7:47 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_CHNG_LOG_AUDITOR_ASSIGND
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4449" target="_self" class="dottedlink">Auditor Assigned</a>,Field,6/19/2017 8:07 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_PROC_ISS_AUDITOR_ASSIGND
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4458" target="_self" class="dottedlink">Auditor Assigned</a>,Field,6/19/2017 8:19 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_CHNG_REQ_AUDITOR_ASSIGND
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3747" target="_self" class="dottedlink">Auth Email</a>,Field,5/23/2017 5:11 am,Carlos Banawan,Set,Description,&nbsp;,The Auth Email address of the License Manager
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3747" target="_self" class="dottedlink">Auth Email</a>,Field,5/23/2017 5:11 am,Carlos Banawan,Set,Help,&nbsp;,The Auth Email address of the License Manager
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3747" target="_self" class="dottedlink">Auth Email</a>,Field,5/23/2017 5:11 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,Owner,&nbsp;,Beverly Ucab
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,Default Function,&nbsp;,executeSpider
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,Notify User,&nbsp;,F
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,Script File,&nbsp;,FLOAutoSpiderRealTime-Redirects.js
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,Name,&nbsp;,Auto spider redirect test
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,Notify Owner,&nbsp;,T
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,Inactive,&nbsp;,F
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,ID,&nbsp;,CUSTOMSCRIPT705
Auto spider redirect test,Script,4/24/2017 2:09 am,Beverly Ucab,Set,Notify All Admins,&nbsp;,F
Auto spider redirect test,Script Deployment,4/24/2017 2:10 am,Beverly Ucab,Set,Audience: All Partners,&nbsp;,F
